lambda_sparse,lambda_magnitude,num_neurons,margin,alter_success_rate,preserve_violation_rate,alter_states_changed,preserve_states_violated,objective_initial,objective_final,objective_improvement,l0_norm,l1_norm,l2_norm,linf_norm,iterations,function_evals,execution_time,success,l1_penalty,l2_penalty,total_regularization,efficiency,sparsity_ratio
0.001,0.01,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.6341896245006705,0.01051823406179897,3.0,0.5853545749893072,0.4716699259785827,0.45293553945502474,0,1000,0.21047210693359375,False,0.0005853545749893072,0.0022247251907264167,0.002810079765715724,0.04997447982557417,0.00390625
0.01,0.0,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.18619075124746515,0.008517178840578066,1.0,0.4811149888097775,0.4811149888097775,0.4811149888097775,0,1000,0.25090789794921875,False,0.004811149888097775,0.0,0.004811149888097775,0.033945439383107255,0.0009765625
0.01,0.0,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.6361909048608023,0.008516953701667163,1.0,0.48113601258474664,0.48113601258474664,0.48113601258474664,0,1000,0.21645212173461914,False,0.004811360125847467,0.0,0.004811360125847467,0.03934797974449686,0.0013020833333333333
0.01,0.0,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.33619101214916297,0.008516953701667107,1.0,0.4811360125847538,0.4811360125847538,0.4811360125847538,0,1000,0.21337509155273438,False,0.004811360125847538,0.0,0.004811360125847538,0.03991540736872838,0.0013020833333333333
0.01,0.001,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.18640552519252093,0.00830240489552228,2.0,0.47972296573579254,0.47821979862363545,0.47821742874344836,0,1000,0.23661112785339355,False,0.004797229657357925,0.00022869417579563046,0.0050259238331535555,0.03508881839516241,0.001953125
0.01,0.001,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.6364054664521783,0.008302392110291157,2.0,0.4797227749658791,0.47821958090897454,0.4782172109426083,0,1000,0.2107536792755127,False,0.004797227749658791,0.00022869396756475523,0.005025921717223546,0.03939381812375223,0.0026041666666666665
0.01,0.001,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.3364055737448159,0.00830239210601419,2.0,0.47972277539344543,0.4782195809103183,0.47821721094260594,0,1000,0.22007226943969727,False,0.004797227753934454,0.00022869396756604047,0.005025921721500495,0.03772575312260846,0.0026041666666666665
0.001,0.0,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.18642221440938106,0.008285715678662153,2.0,5.870566269427452,5.762818077022723,5.761791407034028,0,1000,0.24311590194702148,False,0.005870566269427452,0.0,0.005870566269427452,0.034081339856031845,0.001953125
0.001,0.0,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.636422153680055,0.008285704882414535,2.0,5.87057706567511,5.762818280814904,5.76179140703379,0,1000,0.21318292617797852,False,0.0058705770656751095,0.0,0.0058705770656751095,0.03886664392389993,0.0026041666666666665
0.001,0.0,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.3364222609684159,0.008285704882414202,2.0,5.870577065675384,5.762818280815143,5.761791407034028,0,1000,0.2233738899230957,False,0.0058705770656753845,0.0,0.0058705770656753845,0.03709343507097829,0.0026041666666666665
0.0,0.1,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.6366875274105669,0.008020331151902593,6.0,0.37198536843038976,0.22870148737512086,0.1687346106559737,0,1000,0.21371006965637207,False,0.0,0.005230437032759257,0.005230437032759257,0.037529027831017116,0.0078125
0.0,0.1,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.33668811152381384,0.00801985432701624,4.0,0.3719742604830092,0.22870148710682764,0.16873461065601356,0,1000,0.21174907684326172,False,0.0,0.005230437020487445,0.005230437020487445,0.03787432959130489,0.005208333333333333
0.0,0.1,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.18668861850209303,0.008019311585950178,4.0,0.37197220599998787,0.22871367826858716,0.16875226794455075,0,1000,0.23644018173217773,False,0.0,0.00523099466271468,0.00523099466271468,0.03391687287329982,0.00390625
0.01,0.01,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.18677948069760525,0.007928449390437964,3.0,0.4282086822978648,0.3338612689555555,0.31403133118891063,0,1000,0.23229503631591797,False,0.004282086822978648,0.0011146334690861378,0.005396720292064786,0.0341309462146896,0.0029296875
0.01,0.01,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.6367794264262198,0.007928432136249719,3.0,0.4282087057255193,0.33386158626542406,0.3140318458306505,0,1000,0.21270394325256348,False,0.004282087057255193,0.0011146355878366519,0.005396722645091845,0.03727449531500007,0.00390625
0.01,0.01,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.3367795337713176,0.007928432079512493,3.0,0.42820871035075436,0.33386158783566927,0.31403184583068755,0,1000,0.2200930118560791,False,0.004282087103507544,0.001114635598321543,0.0053967227018290875,0.0360230977469515,0.00390625
0.001,0.1,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.33684617831240804,0.007861787538422038,5.0,0.36781068603316697,0.2235163796115775,0.16379833955669207,0,1000,0.21346807479858398,False,0.00036781068603316695,0.004995957195466682,0.005363767881499849,0.03682886795058213,0.006510416666666667
0.001,0.1,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.636846071029433,0.007861787533036457,5.0,0.3678106912418749,0.22351637961553175,0.16379833955377582,0,1000,0.2240910530090332,False,0.0003678106912418749,0.00499595719564345,0.005363767886885325,0.035083004999398815,0.006510416666666667
0.001,0.1,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.18684739798424352,0.007860532103799694,5.0,0.3679977910587124,0.22350327729523273,0.16378490609975144,0,1000,0.24408411979675293,False,0.0003679977910587124,0.00499537149617097,0.0053633692872296825,0.03220419300667779,0.0048828125
0.01,0.1,12,0.1,0.6666666666666666,0.0,2/3,0/5,0.3447079658508301,0.33944213807928814,0.005265827771541942,3.0,0.3093749692093074,0.18402691849187813,0.1364708789831019,0,1000,0.2161099910736084,False,0.003093749692093074,0.0033865906729616357,0.00648034036505471,0.024366424455352316,0.00390625
0.01,0.1,12,0.2,0.6666666666666666,0.0,2/3,0/5,0.6447078585624695,0.6394420307909301,0.005265827771539389,3.0,0.3093749692093776,0.1840269184919296,0.13647087898316995,0,1000,0.22184514999389648,False,0.003093749692093776,0.00338659067296353,0.006480340365057307,0.023736501662011834,0.00390625
0.01,0.1,16,0.05,0.6666666666666666,0.0,2/3,0/5,0.1947079300880432,0.18944352149070576,0.0052644085973374555,3.0,0.31097914034980156,0.1848218509841807,0.13662715476169524,0,1000,0.39209699630737305,False,0.0031097914034980156,0.0034159116601218697,0.006525703063619885,0.013426291573043767,0.0029296875
0.0,0.0,16,0.1,0.3333333333333333,0.2,1/3,1/5,0.36013609170913696,0.34460657835006714,0.015529513359069824,2.0,23.11222389872775,21.555004834787812,21.494189898727747,0,1000,0.25775909423828125,False,0.0,0.0,0.0,0.060248168565931626,0.001953125
0.0,0.0,16,0.2,0.3333333333333333,0.2,1/3,1/5,0.6601359844207764,0.6446064710617065,0.015529513359069824,2.0,23.11222389872775,21.555004834787812,21.494189898727747,0,1000,0.24317717552185059,False,0.0,0.0,0.0,0.06386090029109014,0.001953125
